,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15
0.2,0.5352,1.2409,1.3617,0.4288,1.6597,0.586,27.7338,0.7782,0.8723,1.0833,0.4161,0.5877,0.5769,0.4118,1.9888
0.25,0.5619,1.2817,1.3493,0.4582,1.5245,0.6196,28.1546,0.8037,0.8602,1.0888,0.4023,0.62,0.5563,0.4241,1.8442
0.3,0.5632,1.2586,1.4195,0.4385,1.6758,0.641,27.3415,0.8012,0.8601,1.0865,0.4054,0.6368,0.5535,0.4252,1.876
0.35,0.5709,1.2531,1.3931,0.472,1.7432,0.6607,28.0738,0.8293,0.8866,1.0664,0.4349,0.6432,0.5798,0.4156,1.9777
0.4,0.5658,1.2813,1.3845,0.4648,1.8716,0.6643,28.5539,0.8009,0.8848,1.1081,0.42,0.6421,0.5617,0.4101,2.304
0.45,0.5877,1.1949,1.297,0.5008,1.9112,0.7157,28.4397,0.843,0.8736,1.1516,0.4314,0.6243,0.5572,0.4035,2.0056
0.5,0.5817,1.3258,1.3385,0.477,1.3617,0.736,29.0049,0.7898,0.9469,1.1858,0.4388,0.694,0.5547,0.4007,1.8188
0.55,0.5947,1.3321,1.3792,0.4896,1.9484,0.7441,29.1722,0.8666,0.918,1.1399,0.4256,0.6564,0.548,0.4016,2.1222
0.6,0.5867,1.2806,1.4387,0.4641,1.5593,0.7691,29.6338,0.8157,1.0003,1.1793,0.4421,0.6885,0.5449,0.3957,1.7014
0.65,0.5817,1.2269,1.4392,0.4909,1.4621,0.7824,28.8593,0.8637,0.9417,1.1736,0.4477,0.6759,0.5553,0.4182,1.7236
0.7,0.6062,1.2707,1.3212,0.4684,2.264,0.7959,29.5084,0.8376,0.9687,1.1535,0.4327,0.6831,0.5284,0.4148,2.1619
0.75,0.6135,1.2456,1.5635,0.5194,1.3168,0.7977,29.3032,0.8606,0.982,1.1604,0.4405,0.6619,0.5223,0.4099,1.7722
0.8,0.6062,1.291,1.2467,0.4917,1.993,0.784,29.6133,0.8411,1.0056,1.1808,0.469,0.6782,0.5636,0.4184,2.0156
0.85,0.6029,1.3458,1.5179,0.4915,1.1048,0.8237,27.7622,0.8404,1.0131,1.1874,0.4418,0.6909,0.5433,0.4029,1.9532
0.9,0.6084,1.2686,1.3178,0.4863,1.6886,0.8027,29.3529,0.8735,0.982,1.1939,0.4577,0.6667,0.5191,0.4006,1.5904
